director,genre,image,imdb_id,rating,title,year,release_date,international_earnings,domestic_earnings,worldwide_earnings
Clyde Geronimi,"['animation', 'family', 'fantasy', 'musical', 'romance']",https://m.media-amazon.com/images/M/MV5BMWE3NzMxZTYtZTUyYi00ZTMzLTg2MzEtZjg0NGM3ZDJjZDg2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,tt0042332,7.3,Cinderella,1950,1950-02-15,0,10000000,10000000
Clyde Geronimi,"['animation', 'adventure', 'family', 'fantasy', 'musical']",https://m.media-amazon.com/images/M/MV5BMTgyMjM2NTAxMF5BMl5BanBnXkFtZTgwNjU1NDc2MTE@._V1_.jpg,tt0043274,7.4,Alice in Wonderland,1951,1951-07-26,0,0,0
Clyde Geronimi,"['animation', 'adventure', 'family', 'fantasy', 'musical']",https://m.media-amazon.com/images/M/MV5BMzIwMzUyYTUtMjQ3My00NDc3LWIyZjQtOGUzNDJmNTFlNWUxXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_.jpg,tt0046183,7.3,Peter Pan,1953,1953-02-05,0,40759520,40759520
Clyde Geronimi,"['animation', 'adventure', 'comedy', 'drama', 'family', 'romance']",https://m.media-amazon.com/images/M/MV5BYTI1ZDc1OTItM2EzNS00ODMxLWIxYzctOTc5YWNiYzI3NGZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,tt0048280,7.3,Lady and the Tramp,1955,1955-06-16,0,36359037,36359037
Clyde Geronimi,"['animation', 'family', 'fantasy', 'musical', 'romance']",https://m.media-amazon.com/images/M/MV5BOTJmZjA3MjMtMWNmZS00YTliLWFhMWUtZDU2NGJhNTlmY2ZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,tt0053285,7.2,Sleeping Beauty,1959,1959-01-29,0,36479805,36479805
Clyde Geronimi,"['animation', 'adventure', 'comedy', 'family']",https://m.media-amazon.com/images/M/MV5BZGMyMjE4OGUtNGZmMC00YzdmLThkMWYtZWIzMmEzNjA4MzVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,tt0055254,7.2,One Hundred and One Dalmatians,1961,1961-01-25,71000000,14000000,85000000
Wolfgang Reitherman,"['animation', 'adventure', 'comedy', 'family', 'fantasy', 'musical']",https://m.media-amazon.com/images/M/MV5BODc2MjAyZDYtNWYwZi00YTQwLWE0ZDMtMjM2NTJmYWMxMmQ0XkEyXkFqcGdeQXVyNTQxMTIxMTk@._V1_.jpg,tt0057546,7.2,The Sword in the Stone,1963,1963-12-25,0,12000000,12000000
Wolfgang Reitherman,"['animation', 'adventure', 'family', 'musical']",https://m.media-amazon.com/images/M/MV5BMjAwMTExODExNl5BMl5BanBnXkFtZTgwMjM2MDgyMTE@._V1_.jpg,tt0061852,7.6,The Jungle Book,1967,1967-10-18,64000000,73741048,137741048
Wolfgang Reitherman,"['animation', 'adventure', 'comedy', 'family', 'musical']",https://m.media-amazon.com/images/M/MV5BMTU1MzM0MjcxMF5BMl5BanBnXkFtZTgwODQ0MzcxMTE@._V1_.jpg,tt0065421,7.1,The AristoCats,1970,1970-12-11,0,18000000,18000000
John Lounsbery,"['animation', 'comedy', 'family', 'musical']",https://m.media-amazon.com/images/M/MV5BNjg5MjQzYTQtMTUzZC00NzlkLTgzZDEtMjg0OWY4NTNjNzJlXkEyXkFqcGdeQXVyNjI4MjU4MTY@._V1_.jpg,tt0076363,7.6,The Many Adventures of Winnie the Pooh,1977,1977-03-11,0,0,0
