director,genre,image,imdb_id,rating,title,year,international_earnings,domestic_earnings,release_date,worldwide_earnings
John Lasseter,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_.jpg,tt0114709,8.3,Toy Story,1995,181757800,191796233,1995-11-19,373554033
John Lasseter,"['animation', 'adventure', 'comedy', 'family']",https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,tt0120623,7.2,A Bug's Life,1998,200460294,162798565,1998-11-14,363258859
John Lasseter,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,tt0120363,7.9,Toy Story 2,1999,251514690,245852179,1999-11-13,497366869
Pete Docter,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_.jpg,tt0198781,8.0,"Monsters, Inc.",2001,272900000,255873250,2001-10-28,528773250
Andrew Stanton,"['animation', 'adventure', 'comedy', 'family']",https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,tt0266543,8.1,Finding Nemo,2003,531300000,339714978,2003-05-30,871014978
Brad Bird,"['animation', 'action', 'adventure', 'family']",https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_.jpg,tt0317705,8.0,The Incredibles,2004,370001000,261441092,2004-10-27,631442092
John Lasseter,"['animation', 'comedy', 'family', 'sport']",https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_.jpg,tt0317219,7.1,Cars,2006,217900167,244082982,2006-03-14,461983149
Brad Bird,"['animation', 'adventure', 'comedy', 'drama', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_.jpg,tt0382932,8.0,Ratatouille,2007,417277164,206445654,2007-06-22,623722818
Andrew Stanton,"['animation', 'adventure', 'family', 'sci-fi']",https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg,tt0910970,8.4,WALL·E,2008,297503696,223808164,2008-06-21,521311860
Pete Docter,"['animation', 'adventure', 'comedy', 'family']",https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_.jpg,tt1049413,8.2,Up,2009,442094918,293004164,2009-05-13,735099082
